ano;m3s;log
jul/1985;496;6,206771376
ago/1985;403;5,998123611
set/1985;341;5,831583095
out/1985;469;6,150908148
nov/1985;618;6,426137272
dez/1985;1868;7,532643829
jan/1986;2161;7,678379435
fev/1986;1668;7,419147597
mar/1986;1250;7,130661174
abr/1986;885;6,785337153
mai/1986;640;6,461595335
jun/1986;472;6,156513845
jul/1986;385;5,953825266
ago/1986;346;5,847218582
set/1986;290;5,670101574
out/1986;373;5,921948078
nov/1986;386;5,955481591
dez/1986;584;6,370354862
jan/1987;844;6,738252762
fev/1987;703;6,555548693
mar/1987;1233;7,117021802
abr/1987;863;6,760683753
mai/1987;555;6,319864881
jun/1987;383;5,947574896
jul/1987;286;5,655508036
ago/1987;224;5,409805454
set/1987;203;5,311910378
out/1987;312;5,741649855
nov/1987;557;6,322715102
dez/1987;1361;7,215868667
jan/1988;1124;7,024267019
fev/1988;1370;7,222766071
mar/1988;2158;7,676844935
abr/1988;1163;7,058519433
mai/1988;726;6,586908814
jun/1988;568;6,342367338
jul/1988;431;6,067136878
ago/1988;346;5,846193142
set/1988;281;5,638819008
out/1988;447;6,102001719
nov/1988;595;6,387763028
dez/1988;1090;6,993689798
jan/1989;1071;6,975891598
fev/1989;990;6,898199014
mar/1989;908;6,810854143
abr/1989;630;6,445522656
mai/1989;469;6,149900184
jun/1989;350;5,859131421
jul/1989;293;5,679588602
ago/1989;257;5,549558838
set/1989;254;5,537971224
out/1989;324;5,781124466
nov/1989;807;6,692966939
dez/1989;4275;8,360461406
jan/1990;2554;7,845503215
fev/1990;1590;7,371205496
mar/1990;1433;7,267755569
abr/1990;1009;6,916699204
mai/1990;800;6,684088189
jun/1990;560;6,328366658
jul/1990;470;6,15331037
ago/1990;374;5,923498426
set/1990;410;6,016378532
out/1990;415;6,028633377
nov/1990;477;6,166626192
dez/1990;612;6,417048511
jan/1991;1190;7,081981556
fev/1991;1278;7,153042583
mar/1991;1969;7,585461886
abr/1991;1654;7,411182392
mai/1991;809;6,6955375
jun/1991;569;6,344438043
jul/1991;444;6,0951369
ago/1991;359;5,883739426
set/1991;322;5,774372173
out/1991;373;5,921098953
nov/1991;512;6,238723124
dez/1991;731;6,59420247
jan/1992;1703;7,44041158
fev/1992;3615;8,192934802
mar/1992;1454;7,281969332
abr/1992;1265;7,143184442
mai/1992;841;6,734708085
jun/1992;601;6,399322081
jul/1992;477;6,16846223
ago/1992;389;5,963414161
set/1992;396;5,982525057
out/1992;571;6,348067315
nov/1992;1041;6,947585668
dez/1992;2327;7,752166592
jan/1993;1537;7,337564689
fev/1993;1718;7,449029283
mar/1993;1184;7,076353012
abr/1993;886;6,786192903
mai/1993;625;6,437903822
jun/1993;474;6,160720596
jul/1993;378;5,933767253
ago/1993;324;5,781790323
set/1993;318;5,762302722
out/1993;359;5,883782587
nov/1993;328;5,792946615
dez/1993;918;6,822076937
jan/1994;1310;7,17813182
fev/1994;1057;6,963009663
mar/1994;2291;7,736634986
abr/1994;1295;7,166533877
mai/1994;725;6,586340507
jun/1994;542;6,296138159
jul/1994;436;6,078075836
ago/1994;341;5,833205717
set/1994;269;5,594497814
out/1994;279;5,629438656
nov/1994;519;6,25250503
dez/1994;864;6,761974687
jan/1995;1154;7,051054709
fev/1995;1504;7,315664753
mar/1995;1107;7,009780503
abr/1995;1354;7,210528829
mai/1995;862;6,759549411
jun/1995;559;6,325689775
jul/1995;424;6,050487435
ago/1995;327;5,790160433
set/1995;268;5,590431367
out/1995;299;5,700773189
nov/1995;495;6,203870785
dez/1995;1187;7,079578604
jan/1996;1100;7,002806252
fev/1996;777;6,655335382
mar/1996;983;6,890902957
abr/1996;747;6,616562934
mai/1996;508;6,229558916
jun/1996;374;5,924032947
jul/1996;290;5,67113417
ago/1996;246;5,504073681
set/1996;204;5,31605307
out/1996;306;5,725154346
nov/1996;492;6,197853669
dez/1996;537;6,28639014
jan/1997;1658;7,413078682
fev/1997;1059;6,965130203
mar/1997;2622;7,871617376
abr/1997;1962;7,581531412
mai/1997;958;6,864823228
jun/1997;635;6,453815384
jul/1997;468;6,148334081
ago/1997;337;5,820794197
set/1997;340;5,827589324
out/1997;377;5,933133318
nov/1997;447;6,102683258
dez/1997;799;6,683045114
jan/1998;991;6,898244928
fev/1998;1384;7,233071616
mar/1998;991;6,898276409
abr/1998;508;6,230703937
mai/1998;344;5,840533658
jun/1998;301;5,706974722
jul/1998;229;5,434658516
ago/1998;178;5,181176338
set/1998;180;5,194966863
out/1998;197;5,281160859
nov/1998;680;6,521885752
dez/1998;959;6,865490847
jan/1999;794;6,677012636
fev/1999;702;6,554403951
mar/1999;1074;6,979551866
abr/1999;395;5,979895783
mai/1999;263;5,573447545
jun/1999;193;5,261045137
jul/1999;146;4,983765149
ago/1999;136;4,915114191
set/1999;171;5,142016253
out/1999;191;5,252284307
nov/1999;689;6,534685591
dez/1999;1541;7,340469049
jan/2000;2039;7,620254129
fev/2000;1958;7,579858525
mar/2000;1982;7,591824248
abr/2000;943;6,849340586
mai/2000;474;6,161718146
jun/2000;373;5,92275786
jul/2000;320;5,767226789
ago/2000;249;5,517095633
set/2000;244;5,498195247
out/2000;213;5,36340246
nov/2000;759;6,632225949
dez/2000;1416;7,255476552
jan/2001;881;6,780977603
fev/2001;699;6,549918667
mar/2001;1147;7,044473308
abr/2001;615;6,422374479
mai/2001;362;5,892482685
jun/2001;275;5,615848982
jul/2001;207;5,333761642
ago/2001;162;5,084785507
set/2001;167;5,115705763
out/2001;365;5,899848634
nov/2001;642;6,464896745
dez/2001;1102;7,004669926
jan/2002;2551;7,844240718
fev/2002;1956;7,578656851
mar/2002;1132;7,031741259
abr/2002;756;6,628041376
mai/2002;454;6,118097198
jun/2002;331;5,802118375
jul/2002;265;5,579729826
ago/2002;184;5,214935758
set/2002;191;5,252273428
out/2002;159;5,068904202
nov/2002;357;5,877735782
dez/2002;647;6,472346295
jan/2003;1319;7,184629153
fev/2003;1188;7,0800265
mar/2003;1276;7,151485464
abr/2003;1095;6,998509642
mai/2003;485;6,184148891
jun/2003;330;5,799092654
jul/2003;231;5,442417711
ago/2003;154;5,036952602
set/2003;185;5,220355825
out/2003;158;5,062595033
nov/2003;311;5,739792912
dez/2003;381;5,942799375
